iter	MultiClass
0	-1.940919528
1	-1.933875521
2	-1.926863941
3	-1.918745938
4	-1.911755983
5	-1.904814261
6	-1.8978419
7	-1.892939292
8	-1.888074196
9	-1.881181026
10	-1.874320367
11	-1.86747617
12	-1.860664416
13	-1.853853631
14	-1.849120389
15	-1.841248323
16	-1.836524288
17	-1.831780614
18	-1.827073275
19	-1.820392854
20	-1.815743371
21	-1.809087319
22	-1.804465813
23	-1.797864443
24	-1.790161576
25	-1.785610896
26	-1.779070364
27	-1.774509767
28	-1.766885957
29	-1.760391667
30	-1.752816463
31	-1.746375642
32	-1.738849145
33	-1.731349056
34	-1.723875418
35	-1.717531548
36	-1.711219108
37	-1.706859137
38	-1.702532574
39	-1.696238235
40	-1.688889301
41	-1.682648351
42	-1.676424098
43	-1.670231567
44	-1.664070191
45	-1.65793989
46	-1.653711967
47	-1.647634378
48	-1.641517714
49	-1.637350123
50	-1.631341904
51	-1.624231167
52	-1.618275409
53	-1.611214004
54	-1.604179545
55	-1.597172049
56	-1.590191529
57	-1.584298756
58	-1.580293778
59	-1.576226081
60	-1.570447293
61	-1.563569757
62	-1.559567787
63	-1.553742584
64	-1.549790999
65	-1.542994289
66	-1.537255588
67	-1.531546909
68	-1.524822754
69	-1.519127756
70	-1.513462679
71	-1.50681127
72	-1.501198213
73	-1.495614817
74	-1.490060981
75	-1.483504736
76	-1.476975536
77	-1.471495205
78	-1.465015616
79	-1.45961272
80	-1.455926185
81	-1.450486403
82	-1.444094032
83	-1.437728634
84	-1.431390189
85	-1.425078678
86	-1.421442377
87	-1.417855094
88	-1.41425416
89	-1.408014952
90	-1.401802606
91	-1.395617097
92	-1.389458397
93	-1.383326479
94	-1.378161697
95	-1.37309452
96	-1.367033784
97	-1.361946559
98	-1.355934771
99	-1.352503197
100	-1.34754199
101	-1.342608127
102	-1.336681395
103	-1.330781165
104	-1.324907397
105	-1.319060051
106	-1.315646343
107	-1.312338844
108	-1.306547711
109	-1.303263197
110	-1.297512954
111	-1.294266656
112	-1.288557116
113	-1.28287373
114	-1.277216452
115	-1.271585231
116	-1.265980016
117	-1.260400755
118	-1.254847397
119	-1.249319887
120	-1.244768471
121	-1.240131428
