iter	MultiClass
0	-1.937733922
1	-1.929582622
2	-1.921456321
3	-1.913355091
4	-1.905279001
5	-1.897228121
6	-1.88920252
7	-1.881202263
8	-1.874304177
9	-1.86943371
10	-1.861496489
11	-1.854660432
12	-1.849863657
13	-1.843067925
14	-1.836304418
15	-1.828474727
16	-1.821719624
17	-1.816969647
18	-1.812243017
19	-1.805581728
20	-1.797853995
21	-1.790152295
22	-1.783566403
23	-1.775913127
24	-1.769336837
25	-1.761732295
26	-1.757122717
27	-1.749560355
28	-1.742024326
29	-1.737507134
30	-1.732970679
31	-1.726560572
32	-1.722066618
33	-1.71462704
34	-1.707213987
35	-1.70088787
36	-1.696493864
37	-1.690207488
38	-1.685814618
39	-1.679581976
40	-1.673380561
41	-1.667126926
42	-1.662744429
43	-1.658456749
44	-1.65124708
45	-1.644064212
46	-1.636908171
47	-1.632687072
48	-1.626652504
49	-1.619561626
50	-1.615296815
51	-1.611064672
52	-1.606927632
53	-1.600984335
54	-1.596899287
55	-1.590967531
56	-1.586813128
57	-1.579873695
58	-1.574016407
59	-1.568189459
60	-1.564133568
61	-1.55833198
62	-1.551503362
63	-1.547467122
64	-1.54166194
65	-1.534899209
66	-1.528163525
67	-1.522497149
68	-1.518631507
69	-1.514703519
70	-1.509083037
71	-1.502450689
72	-1.498655942
73	-1.493119978
74	-1.486552346
75	-1.481042577
76	-1.475574623
77	-1.469079035
78	-1.462610458
79	-1.45616888
80	-1.449754285
81	-1.443366659
82	-1.437918423
83	-1.431580717
84	-1.426266027
85	-1.419977695
86	-1.416300314
87	-1.412737065
88	-1.406506072
89	-1.400301917
90	-1.39510929
91	-1.391484771
92	-1.385345258
93	-1.379232494
94	-1.375664107
95	-1.372103514
96	-1.367030627
97	-1.361974485
98	-1.355963435
99	-1.352470791
100	-1.346501579
101	-1.341535288
102	-1.33648668
103	-1.330588403
104	-1.324716574
105	-1.318871153
106	-1.313052098
107	-1.309664108
108	-1.30388649
109	-1.298135129
110	-1.292409977
111	-1.28671099
112	-1.281038117
113	-1.27630526
114	-1.270680061
115	-1.265080839
116	-1.260416515
117	-1.255768288
118	-1.250237864
119	-1.244733226
120	-1.240152863
121	-1.234695215
122	-1.229263197
123	-1.223856751
124	-1.218475818
125	-1.213906893
126	-1.208572966
127	-1.204050926
128	-1.198763758
129	-1.194288257
130	-1.189047596
131	-1.183832046
132	-1.17949047
133	-1.175097945
134	-1.169949193
135	-1.164825312
136	-1.159726231
137	-1.154651882
138	-1.150366307
139	-1.145337366
140	-1.141096573
141	-1.136112764
142	-1.131153358
143	-1.126218281
144	-1.12130746
145	-1.117171107
146	-1.112304742
147	-1.107462422
148	-1.102644071
149	-1.097849613
150	-1.093078971
151	-1.088332067
152	-1.083608823
153	-1.078909161
154	-1.074233001
155	-1.069580263
156	-1.064950868
157	-1.060344734
158	-1.055761781
159	-1.051201927
160	-1.04666509
161	-1.042151188
162	-1.037660137
163	-1.033191855
164	-1.028746257
165	-1.02432326
166	-1.01992278
167	-1.015544731
168	-1.011189029
169	-1.006855588
170	-1.002544322
